BehaviorSpace results (NetLogo 6.1.1),,,,,,,
PingModel.nlogo,,,,,,,
experiment,,,,,,,
03/03/2021 14:45:04:878 -0700,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-50,50,-50,50,,,,
[run number],surface-tension,sustain,dis,[step],mag,,
472,83,0.995,20,60,0.919898323,,
473,83,0.996,10,60,3.085135629,,
474,83,0.996,20,60,0.944756622,,
475,83,0.997,10,60,3.157222113,,
476,83,0.997,20,60,0.970300193,,
478,83,0.998,20,60,0.996548453,,
477,83,0.998,10,60,3.230542842,,
479,83,0.999,10,60,3.305109302,,
480,83,0.999,20,60,1.023521385,,
481,84,0.99,10,60,2.465851084,,
482,84,0.99,20,60,0.796194928,,
483,84,0.991,10,60,2.515457672,,
484,84,0.991,20,60,0.818135384,,
485,84,0.992,10,60,2.565666068,,
486,84,0.992,20,60,0.84069796,,
487,84,0.993,10,60,2.616472912,,
488,84,0.993,20,60,0.863900971,,
489,84,0.994,10,60,2.667874456,,
490,84,0.994,20,60,0.887763291,,
491,84,0.995,10,60,2.719866546,,
492,84,0.995,20,60,0.912304373,,
493,84,0.996,10,60,2.772444621,,
495,84,0.997,10,60,2.825603701,,
494,84,0.996,20,60,0.937544268,,
496,84,0.997,20,60,0.963503642,,
497,84,0.998,10,60,2.879338379,,
498,84,0.998,20,60,0.990203794,,
499,84,0.999,10,60,2.933642813,,
500,84,0.999,20,60,1.017666682,,
501,85,0.99,10,60,2.472848976,,
502,85,0.99,20,60,0.776916496,,
503,85,0.991,10,60,2.540772004,,
504,85,0.991,20,60,0.799266123,,
505,85,0.992,10,60,2.610178648,,
506,85,0.992,20,60,0.822272538,,
507,85,0.993,10,60,2.681093457,,
508,85,0.993,20,60,0.845955578,,
509,85,0.994,10,60,2.753541251,,
510,85,0.994,20,60,0.870335694,,
512,85,0.995,20,60,0.895433973,,
511,85,0.995,10,60,2.827547127,,
513,85,0.996,10,60,2.903136461,,
514,85,0.996,20,60,0.92127216,,
515,85,0.997,10,60,2.980334912,,
516,85,0.997,20,60,0.947872676,,
517,85,0.998,10,60,3.059168423,,
518,85,0.998,20,60,0.975258641,,
519,85,0.999,10,60,3.139663232,,
520,85,0.999,20,60,1.003453897,,
521,86,0.99,10,60,2.463373073,,
522,86,0.99,20,60,0.769508065,,
523,86,0.991,10,60,2.529427622,,
524,86,0.991,20,60,0.792379907,,
525,86,0.992,10,60,2.596897737,,
526,86,0.992,20,60,0.815949294,,
527,86,0.993,10,60,2.665806163,,
529,86,0.994,10,60,2.73617588,,
528,86,0.993,20,60,0.840238172,,
530,86,0.994,20,60,0.8652692,,
531,86,0.995,10,60,2.808030108,,
532,86,0.995,20,60,0.891065775,,
533,86,0.996,10,60,2.881392314,,
534,86,0.996,20,60,0.917652053,,
535,86,0.997,10,60,2.956286215,,
536,86,0.997,20,60,0.945052978,,
537,86,0.998,10,60,3.032735778,,
538,86,0.998,20,60,0.973294305,,
539,86,0.999,10,60,3.11076523,,
540,86,0.999,20,60,1.002402629,,
541,87,0.99,10,60,2.38607423,,
542,87,0.99,20,60,0.755462437,,
543,87,0.991,10,60,2.453037752,,
544,87,0.991,20,60,0.778774308,,
546,87,0.992,20,60,0.802825649,,
545,87,0.992,10,60,2.521540381,,
547,87,0.993,10,60,2.591610304,,
548,87,0.993,20,60,0.82764068,,
549,87,0.994,10,60,2.663276125,,
550,87,0.994,20,60,0.853244438,,
551,87,0.995,10,60,2.736566866,,
552,87,0.995,20,60,0.879662808,,
553,87,0.996,10,60,2.81151198,,
554,87,0.996,20,60,0.906922551,,
555,87,0.997,10,60,2.888141357,,
556,87,0.997,20,60,0.935051335,,
557,87,0.998,10,60,2.96648534,,
558,87,0.998,20,60,0.964077766,,
559,87,0.999,10,60,3.046574732,,
560,87,0.999,20,60,0.994031419,,
561,88,0.99,10,60,2.218674036,,
563,88,0.991,10,60,2.288027852,,
562,88,0.99,20,60,0.746364644,,
564,88,0.991,20,60,0.770190648,,
565,88,0.992,10,60,2.359211612,,
566,88,0.992,20,60,0.794807907,,
567,88,0.993,10,60,2.43226675,,
568,88,0.993,20,60,0.820243872,,
569,88,0.994,10,60,2.507235561,,
570,88,0.994,20,60,0.846526984,,
571,88,0.995,10,60,2.58416122,,
572,88,0.995,20,60,0.873686713,,
573,88,0.996,10,60,2.663087808,,
574,88,0.996,20,60,0.901753599,,
575,88,0.997,10,60,2.744060331,,
576,88,0.997,20,60,0.930759285,,
577,88,0.998,10,60,2.827124751,,
578,88,0.998,20,60,0.960736565,,
580,88,0.999,20,60,0.991719423,,
579,88,0.999,10,60,2.912328007,,
581,89,0.99,10,60,2.251637755,,
582,89,0.99,20,60,0.619167222,,
583,89,0.991,10,60,2.317651815,,
584,89,0.991,20,60,0.639995153,,
585,89,0.992,10,60,2.385296991,,
586,89,0.992,20,60,0.661535451,,
587,89,0.993,10,60,2.454607106,,
588,89,0.993,20,60,0.683812937,,
589,89,0.994,10,60,2.525616625,,
590,89,0.994,20,60,0.706853306,,
591,89,0.995,10,60,2.598360671,,
592,89,0.995,20,60,0.730683172,,
593,89,0.996,10,60,2.672875046,,
595,89,0.997,10,60,2.749196249,,
594,89,0.996,20,60,0.755330088,,
596,89,0.997,20,60,0.780822589,,
597,89,0.998,10,60,2.827361503,,
598,89,0.998,20,60,0.807190225,,
599,89,0.999,10,60,2.907408776,,
600,89,0.999,20,60,0.834463595,,
601,90,0.99,10,60,1.793125512,,
602,90,0.99,20,60,0.361662335,,
603,90,0.991,10,60,1.860346958,,
604,90,0.991,20,60,0.374256948,,
605,90,0.992,10,60,1.929744812,,
606,90,0.992,20,60,0.387292849,,
607,90,0.993,10,60,2.001382796,,
608,90,0.993,20,60,0.400785613,,
609,90,0.994,10,60,2.075326446,,
610,90,0.994,20,60,0.414751362,,
612,90,0.995,20,60,0.429206795,,
611,90,0.995,10,60,2.151643168,,
613,90,0.996,10,60,2.230402297,,
614,90,0.996,20,60,0.444169203,,
615,90,0.997,10,60,2.311675163,,
616,90,0.997,20,60,0.459656492,,
617,90,0.998,10,60,2.395535153,,
618,90,0.998,20,60,0.475687207,,
619,90,0.999,10,60,2.482057781,,
620,90,0.999,20,60,0.492280549,,
621,91,0.99,10,60,1.595873535,,
622,91,0.99,20,60,0.1543453,,
623,91,0.991,10,60,1.626697971,,
624,91,0.991,20,60,0.159865318,,
625,91,0.992,10,60,1.658148109,,
626,91,0.992,20,60,0.165582785,,
627,91,0.993,10,60,1.690237214,,
628,91,0.993,20,60,0.171504766,,
629,91,0.994,10,60,1.722978835,,
631,91,0.995,10,60,1.756386822,,
630,91,0.994,20,60,0.177638583,,
632,91,0.995,20,60,0.183991818,,
633,91,0.996,10,60,1.790475323,,
634,91,0.996,20,60,0.190572326,,
635,91,0.997,10,60,1.825258796,,
636,91,0.997,20,60,0.197388242,,
637,91,0.998,10,60,1.860752017,,
638,91,0.998,20,60,0.204447993,,
639,91,0.999,10,60,1.89697008,,
640,91,0.999,20,60,0.211760308,,
641,92,0.99,10,60,1.568537271,,
642,92,0.99,20,60,0.047508498,,
643,92,0.991,10,60,1.600660132,,
644,92,0.991,20,60,0.049245343,,
645,92,0.992,10,60,1.633475955,,
646,92,0.992,20,60,0.051045452,,
648,92,0.993,20,60,0.052911122,,
647,92,0.993,10,60,1.667000358,,
649,92,0.994,10,60,1.701249324,,
650,92,0.994,20,60,0.054844731,,
651,92,0.995,10,60,1.736239206,,
652,92,0.995,20,60,0.056848747,,
653,92,0.996,10,60,1.771986736,,
654,92,0.996,20,60,0.058925723,,
655,92,0.997,10,60,1.808509035,,
656,92,0.997,20,60,0.061078306,,
657,92,0.998,10,60,1.845823621,,
658,92,0.998,20,60,0.063309241,,
659,92,0.999,10,60,1.883948421,,
660,92,0.999,20,60,0.065621369,,
661,93,0.99,10,60,1.534572887,,
662,93,0.99,20,60,0.010075474,,
